Month,Product_A,Product_B,Product_C,Product_D,Total_Sales,Average_Sales,Month_over_Month_Growth,Quarter,Max_Sales_Product,Min_Sales_Product
2025-01-01,76,70,36,41,223,55.75,,Q1,Product_A,Product_C
2025-02-01,76,33,29,21,159,39.75,-28.69955156950673,Q1,Product_A,Product_D
2025-03-01,71,64,33,23,191,47.75,20.125786163522008,Q1,Product_A,Product_D
2025-04-01,68,60,35,49,212,53.0,10.994764397905765,Q2,Product_A,Product_C
2025-05-01,57,47,60,33,197,49.25,-7.075471698113212,Q2,Product_C,Product_D
2025-06-01,54,54,49,34,191,47.75,-3.0456852791878153,Q2,Product_A,Product_D
2025-07-01,83,67,24,30,204,51.0,6.806282722513091,Q3,Product_A,Product_C
2025-08-01,51,68,57,23,199,49.75,-2.450980392156865,Q3,Product_B,Product_D
2025-09-01,74,43,43,35,195,48.75,-2.010050251256279,Q3,Product_A,Product_D
2025-10-01,65,47,25,41,178,44.5,-8.71794871794872,Q4,Product_A,Product_C
2025-11-01,73,64,44,38,219,54.75,23.03370786516854,Q4,Product_A,Product_D
2025-12-01,73,63,48,15,199,49.75,-9.1324200913242,Q4,Product_A,Product_D
